Perovskite_composition_long_form,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Encapsulation,TS80,TS80m,lnTS80m
Cs0.05((NH2)2CH)0.86(CH3NH3)0.09PbBr0.3I2.7,DMF; DMSO,4; 1,100,60,FALSE,700,598.8439501,6.395001047
Cs0.05((NH2)2CH)0.86(CH3NH3)0.09PbBr0.3I2.7,DMF; DMSO,4; 1,100,60,FALSE,700,598.8439501,6.395001047
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,798.343,272.5430701,5.607796657
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,7842.11,2677.18604,7.892521537
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,1900.08,648.6605839,6.474909597
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,1900.08,648.6605839,6.474909597
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,200,68.27718664,4.223575694
(CH3NH3)PbI3,DMF >> Methyl acetate,1 >> 1,80,90,FALSE,1900.08,648.6605839,6.474909597
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,5; 1,100,30,FALSE,117.983,100.9334368,4.614461258
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,5; 1,100,30,FALSE,443.852,379.7115499,5.939411885
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,150,35,FALSE,1000,341.3859332,5.833013606
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,4; 1,100,30,FALSE,125,62.79697707,4.139906936
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,4; 1,100,30,FALSE,25,12.55939541,2.530469024
Cs0.17((NH2)2CH)0.83PbBr0.51I2.49,DMF; DMSO,4; 1,70,2,FALSE,961.122,328.1135309,5.793359679
Cs0.17((NH2)2CH)0.83PbBr0.51I2.49,DMF; DMSO,4; 1,70,2,FALSE,650,221.9008566,5.40223069
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,acetonitrile; Methylamine,,110,15,FALSE,200,7340.252242,8.901128486
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,acetonitrile; Methylamine,,110,15,FALSE,200,4008.188845,8.296094759
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,acetonitrile; Methylamine,,110,15,FALSE,4350.35,159663.3317,11.9808227
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,acetonitrile; Methylamine,,110,15,FALSE,4350.35,87185.12171,11.37578897
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2117.9,361.5106339,5.890291457
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2117.9,361.5106339,5.890291457
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,50,21.33662082,3.060424884
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,1164.85,497.0792553,6.208749481
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,739.754,189.4062072,5.243893953
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,598.787,153.3130941,5.032482197
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,11045.2,1885.337955,7.54186237
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,11045.2,1885.337955,7.54186237
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,250,42.67324165,3.753572064
CsPbBrI2,DMF; DMSO,9; 1,25; 280,15.0; 10.0,FALSE,216,36.86968078,3.607389554
CsPbBrI2,DMF; DMSO,9; 1,25; 280,15.0; 10.0,FALSE,216,36.86968078,3.607389554
CsPbBrI2,DMF; DMSO >> none,9; 1 >> 1,25; 280 >> Unknown,15.0; 10.0 >> Unknown,FALSE,2023.97,345.4774436,5.844927355
(CH3NH3)PbI3,DMF; DMSO,9; 1,Unknown,Unknown,FALSE,30,70.57803697,4.256719005
(CH3NH3)PbI3,DMF; DMSO,9; 1,Unknown,Unknown,FALSE,5,11.76300616,2.464959536
(CH3NH3)PbI3,DMF; DMSO,9; 1,Unknown,Unknown,FALSE,51.1934,120.4376559,4.791132241
(CH3NH3)PbI3,DMF; DMSO,9; 1,Unknown,Unknown,FALSE,0.5,1.176300616,0.162374443
CsPbI3,DMF; DMSO,4; 1,180,15,FALSE,1064.72,181.7402154,5.202578279
CsPbI3,DMF; DMSO,4; 1,180,15,FALSE,100,17.06929666,2.837281333
CsPbBrI2,DMF; DMSO,2; 3,260,Unknown,FALSE,50,431.7795436,6.067915142
CsPbBrI2,DMF; DMSO,2; 3,260,Unknown,FALSE,1373.03,11856.92534,9.380667392
CsPbBrI2,DMF; DMSO,2; 3,260,Unknown,FALSE,150,1295.338631,7.166527431
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,10,FALSE,748.259,255.445097,5.543007502
(C4H9NH3)2(CH3NH3)4Pb5I16,DMF,1,100,10,FALSE,13806.5,2945.840554,7.988149473
(C4H9NH3)2(CH3NH3)4Pb5I16,DMF,1,100,10,FALSE,2181.98,931.1215981,6.836389879
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,10,FALSE,953.057,203.3501583,5.314929411
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,10,FALSE,200,42.67324165,3.753572064
(CH3NH3)PbI3,DMF,1,130,60,FALSE,4200,2637.473037,7.877576555
(CH3NH3)PbI3,DMF,1,130,60,FALSE,39357.1,24715.06906,10.11516842
(CH3NH3)PbI3,DMF,1,130,60,FALSE,960,602.8509799,6.401670035
(CH3NH3)PbI3,DMF,1,130,60,FALSE,1.56355,3.936774138,1.370361641
(CH3NH3)PbI3,DMF,1,130,60,FALSE,5.75991,14.50255171,2.674324614
(CH3NH3)PbI3,DMF,1,130,60,FALSE,3,25.90677262,3.254504426
(CH3NH3)PbI3,DMF,1,130,60,FALSE,9.22453,79.65926707,4.377758377
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,900,153.6236699,5.03450591
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,1197.57,204.416776,5.320160929
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,700,119.4850766,4.783191482
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,700,119.4850766,4.783191482
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,600,102.41578,4.629040802
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2676.17,456.8033964,6.124253094
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,1914.84,326.8497201,5.789500494
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2366.05,403.8680936,6.001088324
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2366.05,403.8680936,6.001088324
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2676.17,456.8033964,6.124253094
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,296.575,101.2465331,4.617558465
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,413.605,141.1989289,4.950169739
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,193.99,66.22545718,4.193064939
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,319.574,109.0980682,4.692247186
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,108,36.86968078,3.607389554
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,45,FALSE,19.2014,100.889595,4.6140268
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,45,FALSE,39.6697,208.4358414,5.339631279
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,45,FALSE,80.5858,423.4206215,6.048366062
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,45,FALSE,80.5858,423.4206215,6.048366062
(CH3NH3)PbI3,none,1,Unknown,Unknown,FALSE,80.5858,423.4206215,6.048366062
((NH2)2CH)0.95(CH3NH3)0.05PbBr0.15I2.85,DMF; DMSO,4; 1,100,45,FALSE,80.5858,423.4206215,6.048366062
(CH3NH3)PbBr3,DMF,1,100,2,FALSE,186.158,93.52127726,4.538188975
(CH3NH3)PbBr3,DMF,1,100,2,FALSE,269.862,135.5721426,4.909503916
(CH3NH3)PbBr3,DMF,1,100,2,FALSE,287.418,144.3918524,4.972530801
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,3132.25,935.642828,6.84123381
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,450.448,134.5545345,4.901969578
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,90.2063,656.7816899,6.48735168
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,274.606,1999.374686,7.600589754
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,5,FALSE,361.189,61.65242191,4.121512514
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,5,FALSE,886.272,151.2803969,5.019135048
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,5,FALSE,15.8496,5.410830487,1.688402591
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,6.25; 1 >> 1,72.0 >> 140.0,Unknown,FALSE,232.698,930.4881143,6.835709303
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA >> IPA,6.25; 1 >> 1 >> 1,72.0 >> Unknown >> 140.0,Unknown,FALSE,1305.1,5218.69564,8.560002772
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,6.25; 1 >> 1,72.0 >> 140.0,Unknown,FALSE,2237.74,763.9329581,6.638480034
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA >> IPA,6.25; 1 >> 1 >> 1,72.0 >> Unknown >> 140.0,Unknown,FALSE,18793.5,6415.836535,8.766524672
(CH3NH3)PbI3,DMF,1,105,40,FALSE,57.9471,99.14648645,4.596598418
(CH3NH3)PbI3,DMF,1,105,40,FALSE,360,615.9537772,6.423171924
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,9; 1 >> 1,Unknown >> 150.0,Unknown >> 20.0,FALSE,121.765,1051.512723,6.957985095
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,9; 1 >> 1,Unknown >> 150.0,Unknown >> 20.0,FALSE,36.0482,30.83892354,3.428777644
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,9; 1 >> 1,Unknown >> 150.0,Unknown >> 20.0,FALSE,500,4317.795436,8.370500235
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,9; 1 >> 1,Unknown >> 150.0,Unknown >> 20.0,FALSE,2175.17,835.3939953,6.727903464
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO >> IPA,9; 1 >> 1,Unknown >> 150.0,Unknown >> 20.0,FALSE,55.264,47.27787437,3.856042414
((NH2)2CH)PbI3,DMF; NNP,7; 1,150,20,FALSE,10569.9,3608.415175,8.191023945
((NH2)2CH)PbI3,DMF; NNP,7; 1,150,20,FALSE,0.436829,0.560555151,-0.578827645
((NH2)2CH)PbI3,DMF; NNP,7; 1,150,20,FALSE,6058.65,1034.168942,6.941353429
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,269.191,91.89802074,4.520679492
(CH3NH3)PbI3,DMF,1,100,15,FALSE,203.319,86.76280818,4.463178053
((NH2)2CH)0.15(CH3NH3)0.85PbI3,DMF,1,100,15,FALSE,203.319,86.76280818,4.463178053
((NH2)2CH)0.25(CH3NH3)0.75PbI3,DMF,1,100,15,FALSE,417.633,178.2175393,5.183004935
((NH2)2CH)0.5(CH3NH3)0.5PbI3,DMF,1,100,15,FALSE,203.319,86.76280818,4.463178053
((NH2)2CH)0.85(CH3NH3)0.15PbI3,DMF,1,100,15,FALSE,203.319,86.76280818,4.463178053
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,772.627,296.7344881,5.692837759
((NH2)2CH)0.83(CH3NH3)0.17PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,2347.56,901.6019565,6.804173133
(CH3NH3)PbI3,DMF,1,25,Unknown,FALSE,2213.89,377.8954518,5.934617575
(CH3NH3)PbI3,DMF,1,25,Unknown,FALSE,1153.68,196.9250617,5.282823259
(CH3NH3)PbI3,DMF,1,25,Unknown,FALSE,1065.25,181.8306827,5.203075939
((NH2)2CH)0.3(CH3NH3)0.7PbI3,DMF; DMSO,9; 1,60; 100,2.0; 5.0,FALSE,5274.71,603.8161503,6.403269765
AgCs2BiBr6,DMSO,1,250,10,FALSE,864.381,368.8593929,5.910415522
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,2,FALSE,384.559,147.6934122,4.995138586
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,2,FALSE,210,80.65242671,4.390148894
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,2,FALSE,384.559,147.6934122,4.995138586
(CH3NH3)PbI3,DMF,1,95; 120,90.0; 10.0,FALSE,20.4565,3.491780671,1.250411827
(CH3NH3)PbI3,DMF,1,95; 120,90.0; 10.0,FALSE,449.597,76.7430457,4.340462773
(CH3NH3)PbI3,DMF,1,100,5,FALSE,14.7951,12.65708018,2.538216757
(CH3NH3)PbI3,DMF,1,100,5,FALSE,13.7303,11.74615298,2.463525781
(CH3NH3)PbI3,DMF,1,100,5,FALSE,11.9757,10.24510785,2.326800308
(CH3NH3)PbI3,DMF,1,100,5,FALSE,6.79272,5.811113252,1.759772162
(CH3NH3)PbI3,DMF,1,100,5,FALSE,2.8736,2.458339964,0.899486311
(CH3NH3)PbI3,DMF,1,100,5,FALSE,2.18415,1.868521448,0.625147449
(CH3NH3)PbI3,DMF,1,100,5,FALSE,1.42981,1.223190098,0.20146228
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,14.7951,12.65708018,2.538216757
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,4.51437,3.862004518,1.351186354
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,2.95546,2.528370487,0.927575019
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,1.60964,1.377033108,0.319931263
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,0.793142,0.678526126,-0.387832295
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,0.793142,0.678526126,-0.387832295
(CH3NH3)PbI3,DMSO; GBL,3; 7,100,15,FALSE,0.883482,0.755811215,-0.279963649
(CH3NH3)PbI3,DMSO; GBL,,50; 100,50.0; 30.0,FALSE,570,194.5899819,5.270894688
(CH3NH3)PbI3,DMSO; GBL,,50; 100,50.0; 30.0,FALSE,1153.68,393.8501234,5.975970439
(CH3NH3)PbI3,DMSO; GBL,,50; 100,50.0; 30.0,FALSE,1926.84,657.7960715,6.488894962
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,60,FALSE,264,67.59441477,4.213525358
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,60,FALSE,692.008,177.1813476,5.177173771
Cs0.17((NH2)2CH)0.83PbBr0.17I0.83,DMF; DMSO,4; 1,60; 100,0.05; 30.0,FALSE,8471.62,1446.04595,7.276588179
(CH3NH3)3Bi2I9,Unknown >> IPA,,Unknown >> 120,Unknown >> 20.0,FALSE,720,245.7978719,5.504509539
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,4; 1,100,15,FALSE,450,115.2177524,4.746823837
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,4; 1,100,15,FALSE,988.582,253.1159914,5.533847848
((NH2)2CH)0.6(CH3NH3)0.4PbI3,DMF >> IPA,1 >> 1,Unknown >> 70,Unknown >> 20.0,FALSE,1500,512.0788998,6.238478714
((NH2)2CH)0.6(CH3NH3)0.4PbI3,DMF >> IPA,1 >> 1,Unknown >> 70,Unknown >> 20.0,FALSE,2537.36,866.2190114,6.764137777
(CH3NH3)PbI3,DMF; DMSO,10; 1,100,3,FALSE,110,42.24650923,3.743521729
(CH3NH3)PbI3,DMF; DMSO,10; 1,100,3,FALSE,110,42.24650923,3.743521729
(CH3NH3)PbI3,DMF; DMSO,3; 1,100,30,FALSE,360,92.17420196,4.523680286
(CH3NH3)PbI3,DMF; DMSO,3; 1,100,30,FALSE,3195.74,818.2355116,6.707150207
(CH3NH3)PbI3,DMF; DMSO,13; 1,100,10,FALSE,1153.35,689.0405656,6.535300145
(CH3NH3)PbI3,DMF; DMSO,4; 1,Unknown,Unknown,FALSE,236.981,473.8072605,6.160800616
(CH3NH3)PbI3,DMF; DMSO,4; 1,Unknown,Unknown,FALSE,150,299.9020558,5.703455941
(CH3NH3)PbI3,DMF,1,100,2,FALSE,0.873658,32.06435046,3.467744836
(CH3NH3)PbI3,DMF,1,100,2,FALSE,1.25124,45.92208607,3.826946179
(CH3NH3)PbI3,DMF,1,100,2,FALSE,1.7962,65.92280538,4.188484442
(CH3NH3)PbI3,DMF; DMSO >> IPA,7; 3 >> 1,Unknown >> 100,Unknown,FALSE,100,25.60394499,3.242746441
(CH3NH3)PbI3,DMF; DMSO >> IPA,7; 3 >> 1,Unknown >> 100,Unknown,FALSE,312,79.88430836,4.380579443
(CH3NH3)PbI3,DMF; DMSO >> IPA,7; 3 >> 1,Unknown >> 100,Unknown,FALSE,3.5,132.3574917,4.885506532
(CH3NH3)PbI3,DMF; DMSO >> IPA,7; 3 >> 1,Unknown >> 100,Unknown,FALSE,4.5,170.1739178,5.13682096
(CH3NH3)PbI3,none >> none,1 >> 1,Unknown,Unknown,TRUE,720,245.7978719,5.504509539
Cs0.15((NH2)2CH)0.85PbBr0.12I2.88,DMF; DMSO,4; 1,100,20,FALSE,2513.64,1179.916838,7.073199239
Cs0.15((NH2)2CH)0.85PbBr0.12I2.88,DMF; DMSO,4; 1,100,20,FALSE,4781.03,2244.242534,7.716123342
Cs0.15((NH2)2CH)0.85PbBr0.12I2.88,DMF; DMSO,4; 1,100,20,FALSE,890,7685.675876,8.9471136
Cs0.15((NH2)2CH)0.85PbBr0.12I2.88,DMF; DMSO,4; 1,100,20,FALSE,1602.33,13837.06632,9.535106236
(CH3NH3)PbI3,none >> IPA,1 >> 1,Unknown >> 110,Unknown >> 10.0,FALSE,519.313,177.2861531,5.177765111
(CH3NH3)PbI3,none >> IPA,1 >> 1,Unknown >> 110,Unknown >> 10.0,FALSE,184.296,62.91606194,4.141801488
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 10.0,FALSE,705.096,300.8873199,5.706735842
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 10.0,FALSE,760.325,324.4553246,5.782147852
(CH3NH3)PbI3,DMF,1,65; 100,1.0; 10.0,FALSE,120.606,61.75978779,4.12325247
(CH3NH3)PbI3,DMF,1,65; 100,1.0; 10.0,FALSE,84.6872,43.3665282,3.769687904
(CH3NH3)PbBr0.5I2.5,DMF,1,100,15,FALSE,348.093,59.41702682,4.084580832
(CH3NH3)PbBr0.5I2.5,DMF,1,100,15,FALSE,711.616,121.4678461,4.799649587
(CH3NH3)PbBr0.5I2.5,DMF,1,100,15,FALSE,1286.77,219.6425886,5.392001628
(CH3NH3)PbI3,DMF; DMSO,4; 1,60; 100,1.0; 5.0,FALSE,495.492,84.5769994,4.437662355
(CH3NH3)PbI3,DMF; DMSO,4; 1,60; 100,1.0; 5.0,FALSE,1087.44,185.6183596,5.223692736
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,5,FALSE,437.301,149.28841,5.005880072
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,5,FALSE,437.301,149.28841,5.005880072
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,5,FALSE,437.301,149.28841,5.005880072
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,5,FALSE,437.301,149.28841,5.005880072
(CH3NH3)PbI3,DMSO; GBL,1; 1,120,30,FALSE,1440,491.5957438,6.19765672
(CH3NH3)PbI3,Unknown,,Unknown,Unknown,FALSE,500,170.6929666,5.139866426
(CH3NH3)PbI3,DMF >> none,1 >> 1,Unknown,Unknown,FALSE,741.267,221.4258607,5.400087819
(CH3NH3)PbI3,DMF >> none,1 >> 1,Unknown,Unknown,FALSE,250,74.67817288,4.313187852
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 10.0,TRUE,13736.4,2344.706866,7.759915669
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 10.0,TRUE,2141.93,365.6123859,5.901573717
Cs0.17((NH2)2CH)0.83PbBr1.2I1.8,DMF,1,70; 175,1.0; 80.0,FALSE,474.77,8833.310267,9.086285112
Cs0.17((NH2)2CH)0.83PbBr1.2I1.8,DMF,1,70; 175,1.0; 80.0,FALSE,902.722,16795.5505,9.728869279
Cs0.17((NH2)2CH)0.83PbBr1.2I1.8,DMF,1,70; 175,1.0; 80.0,TRUE,1629.43,30316.28104,10.31944018
Cs0.17((NH2)2CH)0.83PbBr1.2I1.8,DMF,1,70; 175,1.0; 80.0,TRUE,3469.64,64554.21917,11.07526076
(CH3NH3)PbI3,DMF,1,110,20,FALSE,10,17.10982714,2.839652985
(CH3NH3)PbI3,DMF,1,110,20,FALSE,28,47.90751601,3.869272402
(CH3NH3)PbI3,DMF,1,110,20,FALSE,16,27.37572343,3.309656615
(CH3NH3)PbBr0.15I2.85,DMSO; GBL,3; 7,100,20,TRUE,600,204.8315599,5.322187982
(CH3NH3)PbBr0.15I2.85,DMSO; GBL,3; 7,100,20,TRUE,200,68.27718664,4.223575694
(CH3NH3)PbI3,DMF,1,60; 70; 80; 90; 100,10.0; 10.0; 10.0; 10.0; 40.0,FALSE,124.319,42.44075783,3.74810917
(CH3NH3)PbI3,DMF,1,60; 70; 80; 90; 100,10.0; 10.0; 10.0; 10.0; 40.0,FALSE,150.149,51.25875648,3.936886462
(CH3NH3)PbI3,DMF,1,60; 70; 80; 90; 100,10.0; 10.0; 10.0; 10.0; 40.0,FALSE,195.143,66.61907516,4.19899095
(CH3NH3)PbI3,DMF,1,60; 70; 80; 90; 100,10.0; 10.0; 10.0; 10.0; 40.0,FALSE,150.149,51.25875648,3.936886462
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 60; 70; 80; 90; 100,Unknown >> 10.0; 10.0; 10.0; 10.0; 40.0,FALSE,329.527,112.4958824,4.72291662
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 60; 70; 80; 90; 100,Unknown >> 10.0; 10.0; 10.0; 10.0; 40.0,FALSE,1044.08,356.4342251,5.876149721
(CH3NH3)PbI3,DMF,1,60; 70; 80; 90; 100,10.0; 10.0; 10.0; 10.0; 40.0,FALSE,51.0129,17.41508647,2.857336869
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 60; 70; 80; 90; 100,Unknown >> 10.0; 10.0; 10.0; 10.0; 40.0,FALSE,58.447,19.95298364,2.993378688
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 120.0,FALSE,300.298,51.25875648,3.936886462
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 120.0,FALSE,1016.59,173.5247629,5.156320315
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 120.0,FALSE,2088.17,356.435932,5.87615451
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 120.0,FALSE,539.725,92.12726139,4.523170897
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 100,Unknown >> 120.0,FALSE,710.163,121.2198292,4.797605668
(CH3NH3)PbI3,DMSO >> IPA,1 >> 1,Unknown >> 150,Unknown,FALSE,240,40.96631198,3.71275007
(CH3NH3)PbI3,DMSO >> IPA,1 >> 1,Unknown >> 150,Unknown,FALSE,672,114.7056735,4.742369487
(CH3NH3)PbI3,DMF,1,70,20,FALSE,360,122.8989359,4.811362359
Cs0.05((NH2)2CH)0.76(CH3NH3)0.19PbBr0.6I2.4,DMF; DMSO,4; 1,100,60,FALSE,157.42,5777.512539,8.661728513
Cs0.05((NH2)2CH)0.76(CH3NH3)0.19PbBr0.6I2.4,DMF; DMSO,4; 1,100,60,FALSE,374.664,13750.64133,9.528840744
Cs0.05((NH2)2CH)0.76(CH3NH3)0.19PbBr0.6I2.4,DMF; DMSO,4; 1,100,60,FALSE,48,1761.660538,7.474012131
Cs0.05((NH2)2CH)0.76(CH3NH3)0.19PbBr0.6I2.4,DMF; DMSO,4; 1,100,60,FALSE,75,2752.594591,7.920299233
((COOH(CH2)3NH3))0.1(CH3NH3)0.9PbI3,DMF; DMSO,7; 3,100,30,FALSE,540,207.3919544,5.334610502
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,30,FALSE,120,46.08710098,3.830533106
((NH2)2CH)PbBr0.15I2.85,DMF; DMSO >> IPA,nan >> 1,Unknown >> 150,Unknown >> 20.0,FALSE,3606.34,54205.8441,10.90054401
((NH2)2CH)PbBr0.15I2.85,DMF; DMSO >> IPA,nan >> 1,Unknown >> 150,Unknown >> 20.0,FALSE,4350.35,65388.84128,11.0881069
((NH2)2CH)PbBr0.15I2.85,DMF; DMSO >> IPA,nan >> 1,Unknown >> 150,Unknown >> 20.0,FALSE,1602.33,24084.15462,10.08930942
((NH2)2CH)0.7(CH3NH3)0.3Pb0.7Sn0.3I3,DMF; DMSO >> IPA,1; 0.07 >> 1,Unknown >> 160,Unknown >> 10.0,FALSE,720,122.8989359,4.811362359
Cs0.24((NH2)2CH)0.76PbI3,none >> none >> none,1 >> 1 >> 1,Unknown >> Unknown >> 160,Unknown >> Unknown >> 30.0,FALSE,239.515,61.32528884,4.1161923
Cs0.24((NH2)2CH)0.76PbI3,none >> none >> none,1 >> 1 >> 1,Unknown >> Unknown >> 160,Unknown >> Unknown >> 30.0,FALSE,200,599.8041116,6.396603121
((NH2)2CH)PbI3,none >> none >> none,1 >> 1 >> 1,Unknown >> Unknown >> 160,Unknown >> Unknown >> 30.0,FALSE,25,6.400986247,1.85645208
