Perovskite_composition_long_form,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Encapsulation,TS80,TS80m,lnTS80m
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown,Unknown,FALSE,87,14.85028809,2.698019265
CsPbBr3,Unknown,,350,Unknown,FALSE,436.829,167.7681853,5.122583177
CsPbBr3,Unknown,,350,Unknown,FALSE,11.0918,419.452236,6.03894966
(CH3NH3)PbI3,DMF; DMSO,9; 1,65; 100,1.0; 2.0,FALSE,48.2892,16.4852536,2.80246626
(CH3NH3)PbI3,DMF; DMSO,9; 1,65; 100,1.0; 2.0,FALSE,150,51.20788998,3.935893621
CsPbI3,DMF; DMSO,1; 1,80; 150; 350,5.0; 2.0; 5.0,FALSE,250.249,2049.716,7.625456526
CsPbI3,DMF; DMSO,1; 1,80; 150; 350,5.0; 2.0; 5.0,FALSE,24.1446,5206.814976,8.557723619
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,1219.91,208.2300569,5.338643511
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,1771.11,302.3160201,5.711472894
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,4; 1,120,45,FALSE,1252.9,1313.499443,7.180450185
Cs0.25((NH2)2CH)0.75PbBr0.6I2.4,DMF; DMSO,3; 1,85; 100,1.0; 30.0,FALSE,272.702,3413.589339,8.135519609
Cs0.25((NH2)2CH)0.75PbBr0.6I2.4,DMF; DMSO,3; 1,85; 100,1.0; 30.0,FALSE,110.647,1385.040886,7.233484938
(CH3NH3)3Bi2I9,IPA >> IPA,1 >> 1,Unknown >> 35.0,Unknown,FALSE,1305.1,556.9284767,6.322436824
(CH3NH3)3Bi2I9,IPA >> IPA,1 >> 1,Unknown >> 35.0,Unknown,FALSE,1305.1,556.9284767,6.322436824
CsPbBrI2,DMF; DMSO,4; 1,150,1,FALSE,116.292,24.81278309,3.211358967
CsPbI3,DMF,1,90; 150,5.0; 20.0,FALSE,1256.82,214.5303343,5.368451147
(CH3NH3)PbI3,DMF,1,130,90,FALSE,524.195,296.2607525,5.691239987
(CH3NH3)PbI3,DMF,1,130,90,FALSE,6000,3391.036762,8.128890983
(CH3NH3)PbI3,DMF,1,130,90,FALSE,12707.4,7181.876758,8.879316015
((NH2)2CH)PbI3,Hexane,1,Unknown,Unknown,FALSE,338.865,72.30234015,4.280856496
CsBi3I10,DMF; DMSO,1; 4,160,20,FALSE,508.297,228.191816,5.430186574
(CH3NH3)PbI3,DMF,1,100,10,FALSE,49.9129,431.0273837,6.066171623
(CH3NH3)PbI3,DMF,1,100,10,FALSE,360,3108.812714,8.041996168
(CH3NH3)PbI3,DMF,1,100,10,FALSE,762.446,6584.171718,8.792423823
(CH3NH3)PbI3,DMF,1,100,10,FALSE,115.894,1000.813169,6.908568117
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF,1,100,80,FALSE,186.478,159.5303173,5.072233981
