Sample	
Comments	
Filename	C:\Windmax\Data\í©ì˙å§\ê[‡V\20230928\MAPbI3_010_9.raw
Goniometer	UltimaáV ≤›Ãﬂ⁄∞›(D/teX)
Attachment	îññåééóøë‰
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
±Ø√»∞¿	äJï˙
î≠éUΩÿØƒ	0.10mm
éUóêΩÿØƒ	äJï˙
éÛåıΩÿØƒ	äJï˙
î≠éUècêßå¿ΩÿØƒ	10mm
áAì¸éÀÉ\Å[ÉâÅ[	V5
áDéÛåıÉ\Å[ÉâÅ[âE	
áDéÛåıÉ\Å[ÉâÅ[ç∂	PB0.5
Start	5
Stop	45
Step	0.05
23.75	171.667
23.8	138.333
23.85	116.667
23.9	110
23.95	108.333
24	111.667
24.05	125
24.1	145
24.15	158.333
24.2	170
24.25	206.667
24.3	261.667
24.35	311.667
24.4	398.333
24.45	411.667
24.5	450
24.55	388.333
24.6	423.333
24.65	321.667
24.7	216.667
24.75	185
24.8	151.667
24.85	125
24.9	95
24.95	123.333
25	120
25.05	120
25.1	115
25.15	128.333
25.2	113.333
25.25	125
25.3	115
25.35	100
25.4	115
25.45	95
25.5	101.667
25.55	83.3333
25.6	113.333
25.65	116.667
25.7	103.333
25.75	111.667
25.8	96.6667
25.85	106.667
25.9	115
25.95	105
26	106.667
26.05	108.333
26.1	116.667
26.15	111.667
26.2	126.667
26.25	101.667
26.3	116.667
26.35	90
26.4	90
26.45	128.333
26.5	91.6667
26.55	86.6667
26.6	108.333
26.65	111.667
26.7	96.6667
26.75	86.6667
26.8	123.333
26.85	115
26.9	80
26.95	105
27	80
27.05	101.667
27.1	105
27.15	123.333
27.2	126.667
27.25	101.667
27.3	108.333
27.35	101.667
27.4	103.333
27.45	111.667
27.5	106.667
27.55	111.667
27.6	135
27.65	95
27.7	128.333
27.75	110
27.8	151.667
27.85	170
27.9	193.333
27.95	255
28	285
28.05	366.667
28.1	428.333
28.15	516.667
28.2	658.333
28.25	733.333
28.3	865
28.35	968.333
28.4	996.667
28.45	1071.67
28.5	991.667
28.55	836.667
28.6	676.667
28.65	510
28.7	335
28.75	218.333
28.8	126.667
28.85	113.333
28.9	103.333
28.95	100
29	118.333
29.05	90
29.1	113.333
29.15	103.333
29.2	90
29.25	106.667
29.3	93.3333
29.35	100
29.4	110
29.45	100
29.5	123.333
29.55	100
29.6	106.667
29.65	86.6667
29.7	91.6667
29.75	96.6667
29.8	96.6667
29.85	91.6667
29.9	86.6667
29.95	101.667
30	113.333
30.05	100
30.1	98.3333
30.15	81.6667
30.2	125
30.25	100
30.3	101.667
30.35	90
30.4	103.333
30.45	103.333
30.5	123.333
30.55	100
30.6	128.333
30.65	111.667
30.7	130
30.75	146.667
30.8	151.667
30.85	151.667
30.9	165
30.95	180
31	180
31.05	160
31.1	155
31.15	130
31.2	113.333
31.25	123.333
31.3	126.667
31.35	176.667
31.4	206.667
31.45	315
31.5	383.333
31.55	455
31.6	605
31.65	705
31.7	895
31.75	991.667
31.8	1075
31.85	1108.33
31.9	1076.67
31.95	1048.33
32	783.333
32.05	578.333
32.1	430
32.15	253.333
32.2	175
32.25	141.667
32.3	105
32.35	78.3333
32.4	100
32.45	95
32.5	96.6667
32.55	80
32.6	75
32.65	76.6667
32.7	71.6667
32.75	85
32.8	96.6667
32.85	85
32.9	78.3333
32.95	91.6667
33	83.3333
33.05	85
