representation,stat,R2_train,R2_test,MAE_train,MAE_test,RMSE_train,RMSE_test
dummy,mean,0.19706744573573126,0.08140979242122874,1.5465108434580157,1.6810004928620146,2.0806331070420714,2.2235539279264325
dummy,std,0.005635750073565149,0.028512566353820542,0.011461847294868384,0.045750499631887064,0.013550414151920435,0.06096447027277454
magpie,mean,0.191102237927805,0.07163420586576649,1.5526937254733928,1.6890215107995783,2.0883438768243177,2.234983148703497
magpie,std,0.005644035865656278,0.03455778944163446,0.011565002289936762,0.042009649033167104,0.01280953652901672,0.05241953853554708
mat2vec,mean,0.19120517926298083,0.07392027739509066,1.5527025959096767,1.6875958799825312,2.0882137514331474,2.2322779834720357
mat2vec,std,0.005461344907614667,0.03498864258129465,0.011817596460029887,0.04327310467615478,0.013105706328313756,0.055729731701981894
oliynyk,mean,0.1913462460565191,0.07635669670824222,1.5520574097719888,1.6855390855591341,2.088028862826243,2.2294678786646944
oliynyk,std,0.005651852559381889,0.03173830147225026,0.011532915629682665,0.04464238260874404,0.01281888018200726,0.05656668186212706
