index,y_true,y_pred
0,4.156366944040255,4.320008203066533
1,4.620672552171353,4.519573352216842
2,5.835385258829537,5.152204521298761
6,7.405169244286797,6.708651925711053
7,9.181430451504491,8.740708655112398
8,10.757044970128048,9.678005223304615
10,5.9502898467585945,6.25578381806921
11,8.429209839165036,7.113404514097229
12,-0.3792228395926544,0.8507657144369718
13,4.4898572754852415,4.235915714931315
14,1.0093171262698637,2.0809307533013515
15,3.181705258371476,3.2104428548785506
17,0.7343601600052766,1.9119259388904806
18,0.9626950402136064,2.0406164795011184
19,3.6073895543098886,3.68901654365681
20,6.382172049025782,6.169082029296941
21,6.380429563593241,5.74877411020995
22,5.658660219023028,5.023791005114298
23,3.7127500699677145,4.233173178801862
24,6.143094936671105,5.547847708691843
25,2.5910483464822605,2.82244586558092
26,0.0408434833926824,1.269088754508053
27,1.7703800572977166,2.0837225040319045
28,3.4658899920361885,4.09788725545246
29,4.921999553104949,5.010040645903424
30,5.022793138020717,5.0629729846492
31,-1.0747416728143313,-0.571789306094797
32,-2.214175956002697,-0.9895856773980904
33,-0.2331744871361127,-0.1046109514191746
35,3.3072849618595503,3.5177299734337737
36,-2.492423507175855,-0.4600876055058616
37,5.099044431087605,4.94453720494335
38,4.965513038463083,5.047065335254951
39,5.680875898951051,5.777351862469377
40,3.9656174584481456,4.6159836170782285
41,5.416065317993158,4.6159836170782285
42,5.142238078269592,4.738516298712526
43,4.654788174758724,4.563056428441705
44,4.3064814804905085,4.487606259628534
45,2.8372813326138147,2.9478346796423294
46,2.8372813326138147,3.336854059600285
47,0.4404075379289924,1.792443938859609
48,4.62904080184187,4.691484247820547
49,2.6980192652803074,3.4067057427559746
50,5.122583177010292,5.65519470177497
51,6.038949660043489,5.65519470177497
52,2.802466260356961,3.3866343837330266
53,3.935893621281924,3.837509204366499
56,5.338643511140046,5.4119765570011795
57,5.7114728942809405,5.705139523836904
58,7.180450184898842,6.623876348407438
59,8.135519608712423,7.845853033857762
60,7.233484938433596,7.459232993433928
61,6.32243682367336,6.368453436669074
62,6.32243682367336,6.368453436669074
63,3.2113589674803467,3.731605265324228
65,5.691239987318073,5.689021154565921
67,8.879316014740011,7.40542989401015
68,4.280856495917228,3.614747158415073
69,5.430186573529574,5.3164001930400016
70,6.066171623247743,6.020557868635591
71,8.041996168316128,7.58110453325082
72,8.792423823167576,8.172405981037492
73,6.908568117105452,6.9919316234141276
74,5.072233981380818,5.281536477437823
75,7.721450615850687,6.616560266641508
76,3.251910984377382,3.6624482520457597
78,6.949455989733288,6.743207361247385
79,7.010353892503018,6.807873497295182
80,4.962786109483876,5.379582603251703
81,2.20950607581498,2.7180430441461136
82,5.688589964939123,5.209768340690606
83,4.447712751357041,4.731647698723349
84,2.725059554458989,2.56971471665638
85,6.01533516296176,4.582139197609945
86,2.115118331473968,2.56971471665638
87,3.7245562439080686,4.582139197609945
88,-0.3531641775357695,1.2750393567881886
89,-0.3531641775357695,1.5059962271643141
90,4.563991928274427,4.481266904397057
91,-0.4368956504179324,1.3832605517650385
92,0.9446773662595502,2.424734202842998
93,5.807801433629536,5.872649335361062
95,7.252754832275717,6.669402334971205
96,7.353548171146173,6.524097736882022
97,7.074579838798471,6.964242501251916
99,4.814802884293676,4.933164976089177
100,5.960033563394648,5.532062581334973
101,4.657510582958667,4.859343459502618
102,5.034505909950034,5.24687539812847
103,4.415821797220037,4.581011272502425
104,6.103412811559496,6.397453652774605
105,7.916012874127549,7.528011147385087
106,7.403084194701794,7.317710388820534
107,6.7732102998403,6.579994786777027
108,7.156971020904965,6.79930548490452
109,7.008586935972044,6.743523425669696
110,6.427477925823165,6.423853420867752
111,4.389822590117222,4.453369301994759
112,4.349241784726482,4.43097975343928
113,4.958172201032909,5.335650424851358
115,0.7730105311136561,1.489491060907986
118,1.6333085282878788,3.315165398737713
120,6.792444284035809,5.61200194665217
121,4.314181644163045,4.730815884326182
122,5.533616513380546,5.697921239990894
123,4.854556005817811,5.105894348695968
124,6.058528810143747,5.697921239990894
128,10.44538456640484,9.42110630999858
129,8.073376692830825,8.290861424122737
131,4.548036347115641,5.235242434692291
132,8.49718854515752,7.263707773879082
134,4.123957686048184,4.738692906717054
135,5.488251175653174,5.235033015997728
136,6.2816180217513855,5.8649721126379655
138,4.139824451271209,4.935181018075713
139,4.712008074955686,5.116905973584959
140,5.6276349619291,5.116905973584959
141,6.284543740055039,4.827507748736289
142,3.276387514031672,4.827507748736289
144,6.041690256372331,5.960131575535866
145,4.1479357795249605,4.378410852716818
147,4.1479357795249605,4.306800416392435
148,4.845005312063046,5.002172564414387
149,4.991572312564848,5.070124929318367
150,6.708482343521705,5.9366912796443
151,4.5681613558938565,4.881579350553483
152,5.195917782441825,5.114626293957072
153,1.6264483845512032,2.7863228279439403
155,5.9502898467585945,5.885951150416559
156,7.303269907801799,6.480654948224878
157,3.769809520577631,4.5488242316978145
158,4.947050798161042,5.6236555287796515
159,7.174299982039405,6.605194991903394
162,5.835575322169744,5.31003651148665
163,6.298129791974018,5.539685509950537
165,4.447712751357041,4.229596181749048
166,4.925101449218784,4.194309448397526
167,8.221932292337685,6.729248770269079
168,2.8969308364270194,4.194309448397526
169,5.715959624846876,4.837544316751221
170,2.6607332357684808,3.2951912727692116
171,4.750860125162964,5.030258175382977
172,5.101645212787663,5.111294001627962
173,5.101645212787663,5.111294001627962
174,5.3386467900650825,5.0775530776554305
175,3.602711964758777,3.7104839596759627
176,8.209247635432968,7.993704264427367
177,8.488217436848393,8.321302282242295
178,8.488217436848393,8.34459729316309
179,8.488217436848393,8.297165292979914
180,3.818940241366018,4.368133770898263
181,6.254935882478064,5.150282857961949
182,5.5045095391957695,5.115441359263529
183,3.7481091700146103,3.7841951073680997
184,4.673229154140647,4.699475087138704
185,5.142238078269592,4.904655592004371
186,9.457721383323078,7.688251347410308
187,6.573389613596598,7.688251347410308
188,6.912285086855579,6.730806018750253
191,4.838428845123596,4.497326951523627
192,3.2301601118173147,3.508445013354157
193,4.394251322695436,4.377752041729206
194,3.3066328476444222,3.99604904855799
195,3.966452246828311,4.525648579416823
196,6.049221158960897,5.806191379835684
198,2.9434739020188947,3.0118273392058956
199,4.746314077963306,4.830465260169404
203,5.325554972883804,5.620993693049042
204,6.589367953255949,6.433305080299035
205,6.589367953255949,6.371479800303954
207,3.225094219644121,4.473270634537394
208,4.742369487148872,4.775060295355156
209,5.492796767266452,5.134389303029743
210,4.9629860387632885,4.982634189876808
211,3.93688646158617,4.319582971907406
212,4.280855905711515,3.6579033763899838
213,1.4911918156160424,2.4675791238021407
214,3.641569964477469,3.8813164274889003
215,3.6211755476482455,3.722411017721788
216,5.273407886931693,4.681735523856926
217,2.993378687866937,3.1898299964837107
218,4.179947682695487,4.094877155060927
219,2.993378687866937,3.1898299964837107
220,4.179947682695487,4.094877155060927
221,6.31508784164586,5.8553106276976905
222,5.325462614935472,5.403271955419493
226,4.99336677132997,4.593645637990319
227,-0.3792228395926544,1.9139921385239913
228,5.279341370281379,4.672763043181416
229,1.410164976973669,2.231679552711632
230,2.2280960925679727,2.4441795416101417
231,0.534696239619769,1.7632754976206757
233,0.2470141671679881,2.2673415280746263
234,9.072260524175835,9.072260524175825
236,9.072260524175835,9.072260524175825
237,9.072260524175835,9.072260524175825
238,9.072260524175835,8.918361756364888
239,9.072260524175835,9.072260524175825
240,9.072260524175835,8.918361756364888
243,9.410199280456672,7.730220407567222
244,4.106502406146562,4.058582348635394
245,-0.3792228395926544,1.3981706511903198
246,1.3479981084978292,2.3079879794111045
247,9.201233078800673,7.9889391007181345
248,5.699414635600255,5.360749221032627
250,3.7595168101086447,3.984316659568937
251,3.025547635028444,3.6330185024834507
252,5.767473684505628,5.127723556860901
254,1.1248545571836197,2.555170061392667
256,8.599653418680175,7.596003291475623
257,8.487772918514676,7.32724222613362
258,6.808953841855166,7.32724222613362
259,7.182044737014096,7.32724222613362
261,5.322187982401815,4.892891120999747
263,5.658660219023028,4.787352812424683
264,5.034505909950034,4.048033596948336
265,3.0957828330802784,4.048033596948336
266,5.773916254979618,4.63133915691481
267,3.405937761384118,4.63133915691481
268,3.201924446201724,3.661534216231361
269,3.019602889407769,3.3597662711684366
270,3.53042851317376,4.302134682978616
271,9.621306175160978,5.986125119602877
272,5.139866425607861,5.986125119602877
273,3.53042851317376,5.986125119602877
274,8.194188310572011,7.510443759702486
275,3.893048748789608,4.1149951130662545
276,4.697137049259348,4.59309957413398
277,4.9474945329604045,5.168345391176898
278,5.773916254979618,5.634765814824365
279,5.773916254979618,5.652851344230552
281,2.4552885806907927,2.8383123059806348
282,3.6073895543098886,4.004351949409226
283,5.726757133704968,5.188157186646423
284,4.078549921683448,4.359485060150515
286,4.019008527992431,4.295849099102827
287,-4.358156018820109,-3.0418915015932235
288,-1.960260746021733,-2.0578594967306088
289,4.300536734869834,4.54657868286348
290,5.334100495825916,4.944650190319341
291,1.8156300850818332,2.50085759201879
292,5.533619211467333,4.807394381056689
293,4.31888587353803,3.9538075212579322
294,4.495509409217347,4.711182651062366
295,6.232200044617589,5.924187658540214
296,4.495509409217347,4.711182651062366
297,6.232200044617589,5.924187658540214
298,1.3577468319163903,0.8795008990261557
299,-1.0041764281127408,0.0568226681910933
300,5.456887858749921,5.463930019483164
303,5.456887858749921,5.463930019483164
304,3.761540234137146,4.057282961317247
305,4.466521872344095,4.268799148758151
306,2.79645933809356,3.409135210297589
307,6.061598327431399,5.205877438132156
308,3.551720227308049,3.6995978470810393
309,3.019602889407769,3.8656876766623363
310,4.709083509515406,3.673160417402979
311,3.201924446201724,3.3522228418999394
312,4.811362358635824,3.8362126803808407
313,4.811362358635824,4.236529316184351
314,3.019602889407769,2.9874429450672317
315,4.783191481669128,4.654776533706691
316,2.375245873017256,3.673160417402979
317,4.440440575389535,4.147958663903636
318,1.969780764909092,2.9589990043675947
319,3.0683930535772017,3.8362126803808407
321,3.896241081571641,4.236529316184351
322,1.969780764909092,2.519746646638813
