y_train_real,y_train_pred
4.265197368424525,4.6181125656014475
2.6629279454690367,3.02613708607706
2.8720323856661594,3.2928003641466357
6.083433745802907,5.920446787892783
11.744990552111384,11.736862519515752
6.948083063038008,6.4986498147577
9.934557037007613,8.600946503241651
5.067727897440937,5.244966569536469
9.389322842481107,7.962266238029088
5.7034559406073795,5.64482422796762
2.264381703849524,3.144587379787445
4.179947682695487,3.9416830666313083
7.585881124467879,6.763110755973891
4.775175894673272,5.363973459182244
3.114529283454549,3.772565851189876
5.381841420922484,6.046983526237028
8.976950344371513,7.236723453736796
8.314869774631722,7.7986474252829545
4.631412454503601,4.585351910099051
7.448381333489711,7.1286980956210035
6.685753688171324,6.275695963445261
4.177744572407068,4.313484029022594
10.121560098339538,8.565882204356067
4.261437607620775,4.598231418223926
3.6273377936519524,3.5764303303398712
6.0483660620744155,5.948692845460036
3.4673803873074833,3.780174237860509
5.216827466743989,4.95325254347546
4.4058972505276595,3.789208467626109
3.8723501604631396,4.331784510023443
6.607252349475009,6.064869344542537
4.449090897709646,5.76876336438365
2.7829477040496235,4.363789245337377
0.9857349156224291,2.4268533787641338
4.67629645591935,4.944854982438089
6.917869203977091,6.819148176822466
1.1220089461179474,1.695531399926142
7.272042129376636,6.675279451186469
1.345626455836098,1.979997088148397
7.177447669968231,7.355490000933374
6.339930703488376,6.172226934607685
4.87461350259279,4.780163964458647
7.806039909498672,7.7055603250054885
3.980854768195361,3.890866565950436
6.488897556454152,5.707085389148932
1.1300372493644524,2.1623659517008305
8.195793362414754,8.307020777175927
4.463178052711183,4.634703776410192
2.522056917508629,3.5370493498721305
7.252754832275717,6.982386202230561
8.47133460713031,7.618029242298329
5.910415522326479,5.5681621210652485
5.97438295163033,5.8071770867459005
6.016502190053993,5.913160396040926
2.938907885702093,2.902985065411627
7.8497723286813486,6.00122363612833
7.8571771953563525,7.456299593819559
3.103564063699704,3.586350948388083
4.722916620108014,5.021271004086458
3.019602889407769,3.3482434510067067
4.62904080184187,4.7923039650623585
5.139866425607861,5.164343362142933
2.0129744120910784,3.768564870606413
5.346831813314575,5.053686224935676
4.741360049266412,4.224718119321964
7.380229246221201,6.884407196827528
1.7140832756472788,2.7630634489263057
2.0729166021115892,4.386220788681878
1.8574462519156503,2.8863445246633894
4.651719025659975,5.155490465228424
7.181652827983883,6.053008969433554
5.6150108090099256,5.639766361054101
4.088509409479753,4.161852088838042
2.5881789779072712,3.2135921616811647
2.6176964417496342,2.9457859075519135
5.881803770337237,5.997928755621353
4.771708662870211,4.305247491750871
4.120586830737611,4.289693962184227
4.480912920717894,4.779020676193119
-0.38783229482148135,0.673733549230348
5.55439618107584,5.79606285231602
7.675323593993761,7.598103525247509
4.449090897709646,5.672354567088915
10.359787943426634,8.846452149792013
7.131293359958026,4.717590176261414
6.925678242566013,7.051481800981786
6.12425309350926,4.941048595474041
7.0155878353500185,4.386220788681878
8.070579554738996,7.395177533818121
2.477389792400146,3.41995560378298
5.171828647999552,4.869886099265719
7.35576722370177,6.599628561020725
3.490023080980364,4.151706641476685
1.910783471194531,3.4131504041583183
4.379510495354465,5.437563683105208
6.72430479390756,6.523746519964792
1.817015057839173,3.2135921616811647
1.6236150311167834,2.00986779620153
2.530469024030218,3.6271731228787503
5.350540039576834,5.363973459182244
1.4105590216076764,3.0008027287645436
6.610122727241855,6.188439770177808
6.044673471640722,5.616766894438613
3.8119345607558337,3.432204952041165
5.682458413157396,5.60238145131486
1.2302150728414458,0.8589014013141364
5.325554972883804,5.514184360717692
5.592587187793505,5.583840394275894
3.53042851317376,5.385437767634681
2.941641347938057,3.7055012502888562
5.377843415479974,5.663863353423315
6.5353001452673904,5.314893096866074
4.193064938528684,5.16003701634877
4.717118068902128,5.304851012003698
9.153675556628967,8.099955419399246
3.4250679975159337,4.286336511758732
3.019602889407769,3.2541681371269178
3.207844388712714,3.1084139235294304
8.193645648692577,6.906722122479646
2.387333239856503,2.39601216212071
9.759166249069786,8.521456824991553
1.7152509687873212,2.468995539503947
6.118675849057556,6.149738949358245
5.7255419747835985,5.516472649359507
-0.37922283959265446,1.4452841303347552
3.357342377474898,3.091570974426058
6.083429853427098,5.483547826769487
7.068697423845753,6.67601701218479
7.9608930200125565,7.277942759753146
-0.12048753812655516,1.3223229137396022
4.608450842866254,4.2888171133858295
5.754142664913668,5.825268555022616
2.7714641276417398,3.3994163398800614
4.83472578442938,4.383997093648795
5.00588007236159,4.994412475202415
6.130446770149596,5.134986958330276
3.9603910928823116,4.181301975083557
12.17965381503174,11.948409410641151
6.0483660620744155,5.739315223266149
10.263986531876638,10.109610983568963
0.40353649965697785,1.5290873648834646
4.185134571881001,3.89162421104268
7.02787488308899,4.901262093231779
2.4414125323040117,2.5064388673632356
9.462482891608056,8.258815660576554
11.452563803349724,9.323993131040297
5.864723162888467,5.684823768757247
7.5114873545654826,5.76876336438365
7.528782813109474,6.638417996794098
2.621185981845238,2.7835671706759313
3.7314031397169076,4.047419746304383
3.3156635367846827,3.4562148453297854
3.3927619352962726,3.628805963223942
5.8887324603509335,5.4974901456750604
2.4822864052280744,2.91898308443197
7.155349278015134,6.85387309401678
7.613289895329378,7.20423145972921
6.099293272359151,5.322465510467497
6.688700820089664,6.092156333237385
12.725615751181113,12.570039587769742
2.79645933809356,4.717590176261414
3.944216886607327,4.12799735105967
6.269679293395654,8.011096535275664
1.7102695694240069,2.538556227666525
5.983405803167587,5.905717373803232
9.27700882363679,7.993192832492947
7.668449504138959,7.566859361022815
3.742470671416796,3.8657522658878247
0.2493858198297196,-0.2809229080141849
5.241465877323453,4.439439976862164
4.55033574078672,5.3097943753818315
6.97476520231133,6.903363324603187
5.665281109617143,5.566506775771237
2.700470225141967,3.6074501403374595
2.831001656656506,3.103142746506132
5.967255995973918,5.782114038841157
7.293218933429865,6.613117400832561
3.547777151508373,3.6432795708909387
3.5032385599458533,3.9663913212958612
6.720394445213155,6.252819861508767
0.7181862801373076,2.8748868734151074
3.9990984409349277,4.012098154971524
5.492796767266452,5.322365666006943
5.701853866205014,4.94785796486335
5.299456570399723,5.013139942977615
3.090086156166015,3.780174237860509
5.160019055564678,5.142216654988919
4.298513856897773,4.063690016456977
7.7265563339880075,6.581887623528904
7.593090969442966,6.717225275411893
6.39500104676496,6.469489166082256
-0.29114557253239665,0.7424082125001582
6.97476520231133,6.5265459404038975
5.024000926544964,6.309868115237677
