fold,n_train,n_test,R2_train,R2_test,MAE_train,MAE_test,RMSE_train,RMSE_test
1,4640,1160,0.8500333005403834,0.38546325700027373,0.6211612101848408,1.339778408515723,0.902603051904675,1.7929143727517782
2,4640,1160,0.8524587309409677,0.34763597759557185,0.6116764845134183,1.4057938441193496,0.8796962961203677,1.974231076061727
3,4640,1160,0.8541874356611912,0.3333763880527981,0.6190903908340184,1.3410545199856179,0.8943666978231996,1.8285680862116738
4,4640,1160,0.8565590454635987,0.3652413267947202,0.607063410761598,1.359009534141789,0.877933361239619,1.8628739901396583
5,4640,1160,0.8534805565556723,0.2840157192063786,0.6126876802160934,1.4246574460619028,0.8914428497478406,1.9416188506546759
