fold,n_train,n_test,R2_train,R2_test,MAE_train,MAE_test,RMSE_train,RMSE_test
1,4640,1160,0.8512132767572712,0.3860232832591808,0.615726612194897,1.341923625422754,0.8990450838934292,1.7920972466821556
2,4640,1160,0.8528459376026951,0.34573445529401503,0.6087302503311945,1.407895067390972,0.8785412022091064,1.9771062444350744
3,4640,1160,0.8545737503968787,0.34759808112516566,0.6188261839114161,1.3267930207191951,0.893181147779387,1.8089576703414059
4,4640,1160,0.8565142075538749,0.36613555222735605,0.6053479904758323,1.354794829631108,0.8780705662002615,1.8615613523814034
5,4640,1160,0.8540586292944595,0.29203466263373645,0.6108541407151893,1.4142097917895289,0.8896825779269069,1.9307152786058903
