target,representation,sp,R2_test_mean,R2_test_std,MAE_test_mean,MAE_test_std,RMSE_test_mean,RMSE_test_std
TS80m,dummy,0,0.6585177780644574,0.1695254888078737,2187.6167710215404,327.3255657419912,13292.933153661095,5876.527913013231
TS80m,dummy,1,0.6359892104848343,0.2018544722009814,2263.774398113105,293.20329665462674,13496.850063045154,5852.049076287631
TS80m,dummy,2,0.6416796354162482,0.1803284870265654,2276.4619423809754,203.50353817874895,13401.7230081621,5647.242669519738
TS80m,dummy,3,0.6280821057238792,0.1927102105327363,2303.532537124392,210.2544089885851,13582.640106109133,5580.907240609721
TS80m,oliynyk,0,0.6695670253094361,0.159201168757475,2174.0834468744133,319.96959213426777,13098.798441063152,5887.712127738083
TS80m,oliynyk,1,0.6328943900526397,0.2134577389680874,2250.170154529455,287.8186667664355,13505.591934366606,5841.508261729203
TS80m,oliynyk,2,0.62307497895812,0.1966510512135525,2320.1613235440445,170.26489143445704,13613.792540039987,5441.067087581989
TS80m,oliynyk,3,0.6355361850271465,0.1839135361456545,2307.843110573657,201.18924891650929,13510.020759168736,5579.059015559592
lnTS80m,dummy,0,0.3475052069078908,0.0350387551202076,1.3691232669907116,0.039601204504133,1.874087558489186,0.078963231537603
lnTS80m,dummy,1,0.3503137674904389,0.0376348449610468,1.3655978366523702,0.0376178843653809,1.8699514129049792,0.0810697486096818
lnTS80m,dummy,2,0.3555300681273238,0.036144474747964,1.3592200417228724,0.040052313348964,1.8624546172536236,0.0791238245512537
lnTS80m,dummy,3,0.3482796862552847,0.0378615870212681,1.3654560842568135,0.041261609103906,1.872852048873576,0.0808239690804921
lnTS80m,oliynyk,0,0.3431465337299485,0.0383762590279085,1.3740587505648765,0.038917361649387,1.8800412751639024,0.0761557915992622
lnTS80m,oliynyk,1,0.346221937311239,0.0401543638890492,1.370573050091992,0.0382723890336807,1.8756342702434643,0.0799982475029633
lnTS80m,oliynyk,2,0.3467737374708166,0.0401374600389878,1.3681321744406998,0.0383019593609278,1.8746583059083588,0.0736118947807774
lnTS80m,oliynyk,3,0.3457414213497312,0.0397433848300964,1.37155946251633,0.0400912523670731,1.8762628187591712,0.076884654047247
