2theta (deg),intensity (cps)
21.25,110.0
21.3,85.0
21.35,98.3333
21.4,86.6667
21.45,105.0
21.5,93.3333
21.55,111.667
21.6,85.0
21.65,106.667
21.7,138.333
21.75,91.6667
21.8,113.333
21.85,113.333
21.9,101.667
21.95,115.0
22.0,110.0
22.05,116.667
22.1,101.667
22.15,105.0
22.2,100.0
22.25,86.6667
22.3,98.3333
22.35,118.333
22.4,98.3333
22.45,116.667
22.5,90.0
22.55,128.333
22.6,110.0
22.65,96.6667
22.7,121.667
22.75,88.3333
22.8,125.0
22.85,113.333
22.9,125.0
22.95,131.667
23.0,128.333
23.05,131.667
23.1,103.333
23.15,121.667
23.2,141.667
23.25,175.0
23.3,215.0
23.35,270.0
23.4,321.667
23.45,346.667
23.5,346.667
23.55,378.333
23.6,301.667
23.65,230.0
23.7,210.0
23.75,175.0
23.8,143.333
23.85,146.667
23.9,145.0
23.95,118.333
24.0,148.333
24.05,148.333
24.1,153.333
24.15,148.333
24.2,215.0
24.25,168.333
24.3,251.667
24.35,350.0
24.4,391.667
24.45,456.667
24.5,461.667
24.55,398.333
24.6,383.333
24.65,318.333
24.7,276.667
24.75,170.0
24.8,156.667
24.85,106.667
24.9,125.0
24.95,120.0
25.0,110.0
25.05,78.3333
25.1,116.667
25.15,116.667
25.2,155.0
25.25,111.667
25.3,113.333
25.35,110.0
25.4,118.333
25.45,121.667
25.5,111.667
25.55,110.0
25.6,111.667
25.65,105.0
25.7,130.0
25.75,101.667
25.8,105.0
25.85,101.667
25.9,100.0
25.95,95.0
26.0,111.667
26.05,93.3333
26.1,110.0
26.15,118.333
26.2,110.0
26.25,101.667
26.3,110.0
26.35,116.667
26.4,95.0
26.45,105.0
26.5,120.0
26.55,100.0
26.6,103.333
26.65,100.0
26.7,96.6667
26.75,125.0
26.8,115.0
26.85,93.3333
26.9,120.0
26.95,105.0
27.0,88.3333
27.05,113.333
27.1,106.667
27.15,108.333
27.2,93.3333
27.25,138.333
27.3,116.667
27.35,98.3333
27.4,108.333
27.45,101.667
27.5,130.0
27.55,130.0
27.6,120.0
27.65,133.333
27.7,103.333
27.75,123.333
27.8,120.0
27.85,140.0
27.9,201.667
27.95,230.0
28.0,308.333
28.05,370.0
28.1,395.0
28.15,560.0
28.2,658.333
28.25,733.333
28.3,888.333
28.35,1016.67
28.4,970.0
28.45,978.333
28.5,1035.0
28.55,791.667
28.6,696.667
28.65,521.667
28.7,360.0
28.75,225.0
28.8,140.0
28.85,126.667
28.9,136.667
28.95,106.667
29.0,103.333
29.05,86.6667
29.1,120.0
29.15,101.667
29.2,125.0
29.25,110.0
29.3,103.333
29.35,103.333
29.4,86.6667
29.45,93.3333
29.5,118.333
29.55,91.6667
29.6,105.0
29.65,85.0
29.7,98.3333
29.75,105.0
29.8,116.667
29.85,103.333
29.9,98.3333
29.95,85.0
30.0,103.333
30.05,93.3333
30.1,83.3333
30.15,90.0
30.2,86.6667
30.25,90.0
30.3,88.3333
30.35,111.667
30.4,118.333
30.45,108.333
30.5,105.0
30.55,118.333
30.6,113.333
30.65,106.667
30.7,141.667
30.75,153.333
30.8,171.667
30.85,170.0
30.9,206.667
30.95,196.667
31.0,176.667
31.05,175.0
31.1,146.667
31.15,151.667
31.2,130.0
31.25,106.667
31.3,166.667
31.35,163.333
31.4,241.667
31.45,335.0
31.5,386.667
31.55,465.0
31.6,606.667
31.65,791.667
31.7,888.333
31.75,1125.0
31.8,1173.33
31.85,1165.0
31.9,1208.33
31.95,1043.33
32.0,901.667
32.05,718.333
32.1,486.667
32.15,308.333
32.2,185.0
32.25,158.333
32.3,105.0
32.35,110.0
32.4,116.667
32.45,126.667
32.5,83.3333
32.55,83.3333
32.6,70.0
32.65,98.3333
32.7,85.0
32.75,70.0
32.8,85.0
32.85,91.6667
32.9,95.0
32.95,95.0
33.0,68.3333
33.05,93.3333
33.1,91.6667
33.15,76.6667
33.2,78.3333
33.25,80.0
33.3,110.0
33.35,75.0
33.4,90.0
33.45,90.0
33.5,85.0
33.55,68.3333
33.6,91.6667
33.65,66.6667
33.7,86.6667
33.75,110.0
33.8,91.6667
33.85,90.0
33.9,88.3333
33.95,90.0
34.0,96.6667
34.05,83.3333
34.1,75.0
34.15,76.6667
34.2,81.6667
34.25,76.6667
34.3,90.0
34.35,91.6667
34.4,95.0
34.45,61.6667
34.5,100.0
34.55,123.333
34.6,118.333
34.65,151.667
34.7,135.0
34.75,210.0
34.8,216.667
34.85,273.333
34.9,303.333
34.95,295.0
35.0,263.333
35.05,241.667
35.1,236.667
35.15,188.333
35.2,161.667
35.25,111.667
35.3,98.3333
35.35,100.0
35.4,93.3333
35.45,96.6667
35.5,60.0
35.55,78.3333
35.6,51.6667
35.65,66.6667
35.7,63.3333
35.75,78.3333
35.8,51.6667
35.85,83.3333
35.9,66.6667
35.95,81.6667
36.0,71.6667
36.05,80.0
36.1,88.3333
36.15,83.3333
36.2,66.6667
36.25,73.3333
36.3,68.3333
36.35,101.667
36.4,76.6667
36.45,78.3333
36.5,86.6667
36.55,80.0
36.6,90.0
36.65,80.0
36.7,81.6667
36.75,85.0
36.8,76.6667
36.85,76.6667
36.9,80.0
36.95,76.6667
37.0,96.6667
37.05,70.0
37.1,98.3333
37.15,76.6667
37.2,93.3333
37.25,90.0
37.3,96.6667
37.35,98.3333
37.4,95.0
37.45,61.6667
37.5,81.6667
37.55,73.3333
37.6,65.0
37.65,73.3333
37.7,75.0
37.75,86.6667
37.8,51.6667
37.85,65.0
37.9,71.6667
37.95,61.6667
38.0,93.3333
38.05,76.6667
38.1,75.0
38.15,80.0
38.2,80.0
38.25,66.6667
38.3,71.6667
38.35,83.3333
38.4,78.3333
38.45,63.3333
38.5,68.3333
38.55,73.3333
38.6,75.0
38.65,61.6667
38.7,78.3333
38.75,68.3333
38.8,76.6667
38.85,93.3333
38.9,101.667
38.95,91.6667
39.0,81.6667
39.05,66.6667
39.1,76.6667
39.15,80.0
39.2,71.6667
39.25,60.0
39.3,53.3333
39.35,76.6667
39.4,86.6667
39.45,78.3333
39.5,71.6667
39.55,70.0
39.6,78.3333
39.65,70.0
39.7,80.0
39.75,81.6667
39.8,60.0
39.85,80.0
39.9,90.0
39.95,71.6667
40.0,91.6667
40.05,100.0
40.1,146.667
40.15,125.0
40.2,156.667
40.25,251.667
40.3,330.0
40.35,495.0
40.4,548.333
40.45,625.0
40.5,646.667
40.55,643.333
40.6,740.0
40.65,645.0
40.7,510.0
40.75,431.667
40.8,325.0
40.85,260.0
40.9,190.0
40.95,156.667
41.0,118.333
41.05,90.0
41.1,106.667
41.15,91.6667
41.2,101.667
41.25,83.3333
41.3,96.6667
41.35,78.3333
41.4,91.6667
41.45,83.3333
41.5,103.333
41.55,81.6667
41.6,80.0
41.65,90.0
41.7,68.3333
41.75,86.6667
41.8,91.6667
41.85,76.6667
41.9,100.0
41.95,76.6667
42.0,85.0
42.05,93.3333
42.1,78.3333
42.15,100.0
42.2,83.3333
42.25,120.0
42.3,110.0
42.35,153.333
42.4,116.667
42.45,175.0
42.5,191.667
42.55,228.333
42.6,236.667
42.65,218.333
42.7,243.333
42.75,255.0
42.8,255.0
42.85,310.0
42.9,381.667
42.95,485.0
43.0,543.333
43.05,633.333
43.1,673.333
43.15,565.0
43.2,620.0
43.25,580.0
43.3,430.0
43.35,265.0
43.4,225.0
43.45,176.667
43.5,113.333
43.55,91.6667
43.6,101.667
43.65,105.0
43.7,70.0
43.75,95.0
43.8,93.3333
43.85,95.0
43.9,86.6667
43.95,86.6667
44.0,73.3333
44.05,88.3333
44.1,75.0
44.15,86.6667
44.2,71.6667
44.25,91.6667
44.3,71.6667
44.35,78.3333
44.4,83.3333
44.45,91.6667
44.5,76.6667
44.55,71.6667
44.6,68.3333
44.65,80.0
44.7,83.3333
44.75,76.6667
44.8,73.3333
44.85,75.0
44.9,76.6667
44.95,86.6667
45.0,81.6667
