2theta (deg),intensity (cps)
5.0,216.667
5.05,205.0
5.1,186.667
5.15,208.333
5.2,201.667
5.25,238.333
5.3,200.0
5.35,195.0
5.4,168.333
5.45,176.667
5.5,188.333
5.55,196.667
5.6,186.667
5.65,180.0
5.7,210.0
5.75,166.667
5.8,213.333
5.85,170.0
5.9,170.0
5.95,166.667
6.0,210.0
6.05,185.0
6.1,171.667
6.15,176.667
6.2,180.0
6.25,175.0
6.3,230.0
6.35,175.0
6.4,178.333
6.45,190.0
6.5,161.667
6.55,146.667
6.6,140.0
6.65,153.333
6.7,193.333
6.75,175.0
6.8,171.667
6.85,158.333
6.9,161.667
6.95,165.0
7.0,175.0
7.05,188.333
7.1,150.0
7.15,171.667
7.2,156.667
7.25,150.0
7.3,176.667
7.35,161.667
7.4,205.0
7.45,166.667
7.5,155.0
7.55,173.333
7.6,158.333
7.65,148.333
7.7,156.667
7.75,158.333
7.8,143.333
7.85,146.667
7.9,181.667
7.95,190.0
8.0,161.667
8.05,171.667
8.1,140.0
8.15,165.0
8.2,135.0
8.25,145.0
8.3,156.667
8.35,176.667
8.4,138.333
8.45,156.667
8.5,178.333
8.55,173.333
8.6,170.0
8.65,155.0
8.7,148.333
8.75,133.333
8.8,148.333
8.85,151.667
8.9,126.667
8.95,155.0
9.0,131.667
9.05,155.0
9.1,126.667
9.15,145.0
9.2,136.667
9.25,106.667
9.3,141.667
9.35,143.333
9.4,118.333
9.45,161.667
9.5,168.333
9.55,145.0
9.6,123.333
9.65,111.667
9.7,131.667
9.75,128.333
9.8,128.333
9.85,148.333
9.9,125.0
9.95,121.667
10.0,121.667
10.05,110.0
10.1,116.667
10.15,130.0
10.2,108.333
10.25,131.667
10.3,140.0
10.35,108.333
10.4,105.0
10.45,128.333
10.5,125.0
10.55,118.333
10.6,113.333
10.65,95.0
10.7,133.333
10.75,130.0
10.8,115.0
10.85,125.0
10.9,126.667
10.95,110.0
11.0,123.333
11.05,133.333
11.1,98.3333
11.15,131.667
11.2,130.0
11.25,96.6667
11.3,123.333
11.35,123.333
11.4,126.667
11.45,123.333
11.5,111.667
11.55,108.333
11.6,125.0
11.65,116.667
11.7,125.0
11.75,91.6667
11.8,123.333
11.85,111.667
11.9,121.667
11.95,121.667
12.0,125.0
12.05,125.0
12.1,125.0
12.15,123.333
12.2,153.333
12.25,146.667
12.3,131.667
12.35,170.0
12.4,168.333
12.45,190.0
12.5,260.0
12.55,246.667
12.6,263.333
12.65,315.0
12.7,275.0
12.75,276.667
12.8,255.0
12.85,240.0
12.9,180.0
12.95,156.667
13.0,166.667
13.05,160.0
13.1,141.667
13.15,128.333
13.2,131.667
13.25,155.0
13.3,160.0
13.35,210.0
13.4,158.333
13.45,230.0
13.5,243.333
13.55,281.667
13.6,310.0
13.65,330.0
13.7,413.333
13.75,521.667
13.8,673.333
13.85,768.333
13.9,1083.33
13.95,1238.33
14.0,1341.67
14.05,1368.33
14.1,1446.67
14.15,1295.0
14.2,1105.0
14.25,806.667
14.3,595.0
14.35,385.0
14.4,238.333
14.45,136.667
14.5,103.333
14.55,88.3333
14.6,115.0
14.65,100.0
14.7,101.667
14.75,98.3333
14.8,78.3333
14.85,95.0
14.9,98.3333
14.95,80.0
15.0,108.333
15.05,105.0
15.1,98.3333
15.15,96.6667
15.2,98.3333
15.25,95.0
15.3,96.6667
15.35,70.0
15.4,88.3333
15.45,103.333
15.5,83.3333
15.55,101.667
15.6,81.6667
15.65,91.6667
15.7,80.0
15.75,101.667
15.8,93.3333
15.85,105.0
15.9,93.3333
15.95,110.0
16.0,98.3333
16.05,105.0
16.1,96.6667
16.15,103.333
16.2,85.0
16.25,68.3333
16.3,116.667
16.35,86.6667
16.4,108.333
16.45,120.0
16.5,96.6667
16.55,70.0
16.6,70.0
16.65,78.3333
16.7,86.6667
16.75,100.0
16.8,75.0
16.85,95.0
16.9,81.6667
16.95,100.0
17.0,95.0
17.05,68.3333
17.1,81.6667
17.15,76.6667
17.2,76.6667
17.25,101.667
17.3,90.0
17.35,106.667
17.4,110.0
17.45,95.0
17.5,85.0
17.55,83.3333
17.6,61.6667
17.65,95.0
17.7,91.6667
17.75,86.6667
17.8,80.0
17.85,81.6667
17.9,73.3333
17.95,96.6667
18.0,98.3333
18.05,106.667
18.1,78.3333
18.15,93.3333
18.2,101.667
18.25,115.0
18.3,80.0
18.35,78.3333
18.4,75.0
18.45,103.333
18.5,83.3333
18.55,115.0
18.6,106.667
18.65,103.333
18.7,78.3333
18.75,85.0
18.8,80.0
18.85,93.3333
18.9,100.0
18.95,91.6667
19.0,110.0
19.05,108.333
19.1,101.667
19.15,106.667
19.2,113.333
19.25,100.0
19.3,85.0
19.35,93.3333
19.4,98.3333
19.45,106.667
19.5,120.0
19.55,135.0
19.6,111.667
19.65,160.0
19.7,153.333
19.75,218.333
19.8,243.333
19.85,246.667
19.9,260.0
19.95,273.333
20.0,296.667
20.05,255.0
20.1,255.0
20.15,193.333
20.2,161.667
20.25,161.667
20.3,136.667
20.35,98.3333
20.4,108.333
20.45,118.333
20.5,123.333
20.55,73.3333
20.6,101.667
20.65,93.3333
20.7,98.3333
20.75,76.6667
20.8,108.333
20.85,98.3333
20.9,128.333
20.95,95.0
21.0,103.333
21.05,106.667
21.1,86.6667
21.15,81.6667
21.2,96.6667
