2theta (deg),intensity (cps)
5.0,170.0
5.05,185.0
5.1,175.0
5.15,148.333
5.2,188.333
5.25,198.333
5.3,210.0
5.35,173.333
5.4,173.333
5.45,133.333
5.5,191.667
5.55,178.333
5.6,153.333
5.65,180.0
5.7,155.0
5.75,173.333
5.8,213.333
5.85,153.333
5.9,161.667
5.95,155.0
6.0,183.333
6.05,155.0
6.1,178.333
6.15,158.333
6.2,175.0
6.25,173.333
6.3,166.667
6.35,156.667
6.4,158.333
6.45,153.333
6.5,161.667
6.55,153.333
6.6,161.667
6.65,158.333
6.7,143.333
6.75,168.333
6.8,155.0
6.85,145.0
6.9,153.333
6.95,145.0
7.0,168.333
7.05,145.0
7.1,150.0
7.15,165.0
7.2,145.0
7.25,171.667
7.3,135.0
7.35,130.0
7.4,150.0
7.45,158.333
7.5,125.0
7.55,143.333
7.6,131.667
7.65,141.667
7.7,136.667
7.75,151.667
7.8,141.667
7.85,143.333
7.9,140.0
7.95,123.333
8.0,133.333
8.05,121.667
8.1,121.667
8.15,125.0
8.2,141.667
8.25,115.0
8.3,126.667
8.35,120.0
8.4,133.333
8.45,121.667
8.5,131.667
8.55,135.0
8.6,151.667
8.65,118.333
8.7,121.667
8.75,126.667
8.8,123.333
8.85,111.667
8.9,120.0
8.95,121.667
9.0,100.0
9.05,105.0
9.1,126.667
9.15,133.333
9.2,110.0
9.25,133.333
9.3,118.333
9.35,116.667
9.4,113.333
9.45,111.667
9.5,126.667
9.55,140.0
9.6,126.667
9.65,118.333
9.7,105.0
9.75,115.0
9.8,115.0
9.85,131.667
9.9,105.0
9.95,123.333
10.0,133.333
10.05,121.667
10.1,115.0
10.15,116.667
10.2,103.333
10.25,145.0
10.3,103.333
10.35,120.0
10.4,121.667
10.45,125.0
10.5,105.0
10.55,95.0
10.6,111.667
10.65,71.6667
10.7,116.667
10.75,121.667
10.8,135.0
10.85,106.667
10.9,108.333
10.95,110.0
11.0,111.667
11.05,88.3333
11.1,101.667
11.15,106.667
11.2,93.3333
11.25,93.3333
11.3,116.667
11.35,96.6667
11.4,101.667
11.45,108.333
11.5,86.6667
11.55,125.0
