2theta (deg),intensity (cps)
11.6,93.3333
11.65,90.0
11.7,96.6667
11.75,105.0
11.8,98.3333
11.85,91.6667
11.9,88.3333
11.95,83.3333
12.0,98.3333
12.05,105.0
12.1,101.667
12.15,113.333
12.2,103.333
12.25,85.0
12.3,125.0
12.35,95.0
12.4,103.333
12.45,103.333
12.5,101.667
12.55,96.6667
12.6,101.667
12.65,91.6667
12.7,88.3333
12.75,100.0
12.8,86.6667
12.85,120.0
12.9,96.6667
12.95,113.333
13.0,120.0
13.05,98.3333
13.1,91.6667
13.15,160.0
13.2,125.0
13.25,133.333
13.3,175.0
13.35,195.0
13.4,151.667
13.45,193.333
13.5,221.667
13.55,258.333
13.6,315.0
13.65,388.333
13.7,390.0
13.75,461.667
13.8,685.0
13.85,763.333
13.9,958.333
13.95,1236.67
14.0,1513.33
14.05,1456.67
14.1,1605.0
14.15,1486.67
14.2,1250.0
14.25,991.667
14.3,803.333
14.35,420.0
14.4,256.667
14.45,166.667
14.5,113.333
14.55,93.3333
14.6,110.0
14.65,96.6667
14.7,91.6667
14.75,100.0
14.8,105.0
14.85,90.0
14.9,108.333
14.95,83.3333
15.0,95.0
15.05,101.667
15.1,108.333
15.15,76.6667
15.2,81.6667
15.25,118.333
15.3,86.6667
15.35,110.0
15.4,68.3333
15.45,88.3333
15.5,71.6667
15.55,105.0
15.6,93.3333
15.65,85.0
15.7,71.6667
15.75,80.0
15.8,103.333
15.85,95.0
15.9,71.6667
15.95,100.0
16.0,75.0
16.05,73.3333
16.1,76.6667
16.15,88.3333
16.2,71.6667
16.25,88.3333
16.3,65.0
16.35,83.3333
16.4,101.667
16.45,108.333
16.5,88.3333
16.55,100.0
16.6,80.0
16.65,115.0
16.7,88.3333
16.75,78.3333
16.8,71.6667
16.85,83.3333
16.9,78.3333
16.95,86.6667
17.0,78.3333
17.05,86.6667
17.1,68.3333
17.15,95.0
17.2,91.6667
17.25,78.3333
17.3,90.0
17.35,78.3333
17.4,76.6667
17.45,91.6667
17.5,105.0
17.55,103.333
17.6,73.3333
17.65,75.0
17.7,70.0
17.75,95.0
17.8,78.3333
17.85,88.3333
17.9,88.3333
17.95,75.0
18.0,80.0
18.05,85.0
18.1,86.6667
18.15,78.3333
18.2,101.667
18.25,86.6667
18.3,86.6667
18.35,76.6667
18.4,85.0
18.45,105.0
18.5,66.6667
18.55,95.0
18.6,96.6667
18.65,91.6667
18.7,91.6667
18.75,98.3333
18.8,86.6667
18.85,105.0
18.9,86.6667
18.95,86.6667
19.0,91.6667
19.05,106.667
19.1,85.0
19.15,88.3333
19.2,88.3333
19.25,110.0
19.3,103.333
19.35,111.667
19.4,93.3333
19.45,78.3333
19.5,120.0
19.55,106.667
19.6,130.0
19.65,196.667
19.7,165.0
19.75,185.0
19.8,208.333
19.85,300.0
19.9,300.0
19.95,293.333
20.0,298.333
20.05,291.667
20.1,270.0
20.15,246.667
20.2,185.0
20.25,168.333
20.3,145.0
20.35,121.667
20.4,110.0
20.45,85.0
20.5,88.3333
20.55,90.0
20.6,85.0
20.65,95.0
20.7,100.0
20.75,113.333
20.8,106.667
20.85,95.0
20.9,95.0
20.95,76.6667
21.0,110.0
21.05,101.667
21.1,95.0
21.15,91.6667
21.2,90.0
21.25,106.667
21.3,91.6667
21.35,123.333
21.4,101.667
21.45,103.333
21.5,105.0
21.55,106.667
21.6,103.333
21.65,116.667
21.7,120.0
21.75,123.333
21.8,110.0
21.85,86.6667
21.9,100.0
21.95,100.0
22.0,88.3333
22.05,121.667
22.1,118.333
22.15,96.6667
22.2,103.333
22.25,126.667
22.3,106.667
22.35,108.333
22.4,103.333
22.45,105.0
22.5,103.333
22.55,96.6667
22.6,110.0
22.65,108.333
22.7,91.6667
22.75,91.6667
22.8,86.6667
22.85,110.0
22.9,96.6667
22.95,101.667
23.0,123.333
23.05,113.333
23.1,150.0
23.15,150.0
23.2,165.0
23.25,210.0
23.3,206.667
23.35,286.667
23.4,291.667
23.45,345.0
23.5,338.333
23.55,393.333
23.6,306.667
23.65,271.667
23.7,238.333
23.75,175.0
23.8,141.667
23.85,116.667
23.9,101.667
23.95,120.0
24.0,126.667
24.05,158.333
24.1,123.333
24.15,148.333
24.2,183.333
24.25,258.333
24.3,193.333
24.35,355.0
24.4,348.333
24.45,373.333
24.5,396.667
24.55,410.0
24.6,351.667
24.65,308.333
24.7,216.667
24.75,193.333
24.8,138.333
24.85,115.0
24.9,120.0
24.95,128.333
25.0,105.0
25.05,101.667
25.1,106.667
25.15,115.0
25.2,83.3333
25.25,95.0
25.3,111.667
25.35,63.3333
25.4,128.333
25.45,98.3333
25.5,96.6667
25.55,96.6667
25.6,101.667
25.65,100.0
25.7,110.0
25.75,113.333
25.8,96.6667
25.85,101.667
25.9,75.0
25.95,100.0
26.0,111.667
26.05,115.0
26.1,91.6667
26.15,85.0
26.2,121.667
26.25,130.0
26.3,106.667
26.35,120.0
26.4,103.333
26.45,118.333
26.5,91.6667
26.55,110.0
26.6,93.3333
26.65,98.3333
26.7,101.667
26.75,105.0
26.8,96.6667
26.85,91.6667
26.9,120.0
26.95,98.3333
27.0,103.333
27.05,76.6667
27.1,68.3333
27.15,145.0
27.2,86.6667
27.25,123.333
27.3,106.667
27.35,103.333
27.4,108.333
27.45,135.0
27.5,95.0
27.55,116.667
27.6,75.0
27.65,115.0
27.7,135.0
27.75,121.667
27.8,135.0
27.85,126.667
27.9,161.667
27.95,188.333
28.0,245.0
28.05,308.333
28.1,378.333
28.15,470.0
28.2,545.0
28.25,738.333
28.3,961.667
28.35,1078.33
28.4,1186.67
28.45,1296.67
28.5,1376.67
28.55,1131.67
28.6,841.667
28.65,625.0
28.7,443.333
28.75,270.0
28.8,181.667
28.85,145.0
28.9,118.333
28.95,126.667
29.0,110.0
29.05,101.667
29.1,105.0
29.15,96.6667
29.2,86.6667
29.25,113.333
29.3,100.0
29.35,90.0
29.4,70.0
29.45,101.667
29.5,103.333
29.55,98.3333
29.6,115.0
29.65,96.6667
29.7,95.0
29.75,90.0
29.8,111.667
29.85,96.6667
29.9,100.0
29.95,98.3333
30.0,91.6667
30.05,125.0
30.1,95.0
30.15,100.0
30.2,111.667
30.25,101.667
30.3,116.667
30.35,95.0
30.4,108.333
30.45,96.6667
30.5,81.6667
30.55,115.0
30.6,118.333
30.65,125.0
30.7,118.333
30.75,153.333
30.8,171.667
30.85,158.333
30.9,143.333
30.95,185.0
31.0,203.333
31.05,171.667
31.1,148.333
31.15,103.333
31.2,108.333
31.25,136.667
31.3,133.333
31.35,133.333
31.4,191.667
31.45,230.0
31.5,275.0
31.55,401.667
31.6,515.0
31.65,636.667
31.7,815.0
31.75,993.333
31.8,1253.33
31.85,1263.33
31.9,1330.0
31.95,1178.33
32.0,1000.0
32.05,783.333
32.1,511.667
32.15,376.667
32.2,223.333
32.25,145.0
32.3,98.3333
32.35,138.333
32.4,105.0
32.45,110.0
32.5,86.6667
32.55,93.3333
32.6,85.0
32.65,65.0
32.7,75.0
32.75,95.0
32.8,103.333
32.85,78.3333
32.9,91.6667
32.95,105.0
33.0,96.6667
33.05,66.6667
33.1,78.3333
33.15,85.0
33.2,90.0
33.25,86.6667
33.3,85.0
33.35,98.3333
33.4,78.3333
33.45,90.0
33.5,95.0
33.55,80.0
33.6,78.3333
33.65,76.6667
33.7,83.3333
33.75,71.6667
33.8,73.3333
33.85,81.6667
33.9,76.6667
33.95,80.0
34.0,76.6667
34.05,71.6667
34.1,70.0
34.15,55.0
34.2,108.333
34.25,66.6667
34.3,71.6667
34.35,76.6667
34.4,65.0
34.45,80.0
34.5,90.0
34.55,90.0
34.6,93.3333
34.65,116.667
34.7,168.333
34.75,218.333
34.8,211.667
34.85,283.333
34.9,258.333
34.95,283.333
35.0,303.333
35.05,270.0
35.1,231.667
35.15,211.667
35.2,145.0
35.25,130.0
35.3,90.0
35.35,66.6667
35.4,78.3333
35.45,76.6667
35.5,73.3333
35.55,65.0
35.6,70.0
35.65,58.3333
35.7,93.3333
35.75,66.6667
35.8,83.3333
35.85,53.3333
35.9,68.3333
35.95,80.0
36.0,45.0
36.05,70.0
36.1,63.3333
36.15,66.6667
36.2,65.0
36.25,78.3333
36.3,85.0
36.35,83.3333
36.4,66.6667
36.45,71.6667
36.5,75.0
36.55,60.0
36.6,76.6667
36.65,70.0
36.7,68.3333
36.75,45.0
36.8,66.6667
36.85,61.6667
36.9,66.6667
36.95,88.3333
37.0,78.3333
37.05,80.0
37.1,83.3333
37.15,91.6667
37.2,91.6667
37.25,83.3333
37.3,95.0
37.35,96.6667
37.4,85.0
37.45,76.6667
37.5,70.0
37.55,80.0
37.6,76.6667
37.65,58.3333
37.7,58.3333
37.75,60.0
37.8,78.3333
37.85,70.0
37.9,70.0
37.95,66.6667
38.0,68.3333
38.05,80.0
38.1,96.6667
38.15,58.3333
38.2,73.3333
38.25,68.3333
38.3,93.3333
38.35,65.0
38.4,65.0
38.45,70.0
38.5,60.0
38.55,73.3333
38.6,83.3333
38.65,96.6667
38.7,55.0
38.75,90.0
38.8,65.0
38.85,58.3333
38.9,55.0
38.95,71.6667
39.0,78.3333
39.05,73.3333
39.1,75.0
39.15,68.3333
39.2,65.0
39.25,56.6667
39.3,76.6667
39.35,66.6667
39.4,56.6667
39.45,58.3333
39.5,78.3333
39.55,76.6667
39.6,68.3333
39.65,86.6667
39.7,76.6667
39.75,106.667
39.8,65.0
39.85,58.3333
39.9,86.6667
39.95,86.6667
40.0,50.0
40.05,85.0
40.1,90.0
40.15,133.333
40.2,181.667
40.25,203.333
40.3,271.667
40.35,371.667
40.4,466.667
40.45,518.333
40.5,580.0
40.55,605.0
40.6,655.0
40.65,571.667
40.7,531.667
40.75,430.0
40.8,331.667
40.85,288.333
40.9,193.333
40.95,160.0
41.0,83.3333
41.05,81.6667
41.1,93.3333
41.15,86.6667
41.2,91.6667
41.25,96.6667
41.3,73.3333
41.35,85.0
41.4,80.0
41.45,81.6667
41.5,76.6667
41.55,96.6667
41.6,91.6667
41.65,103.333
41.7,81.6667
41.75,96.6667
41.8,90.0
41.85,83.3333
41.9,86.6667
41.95,96.6667
42.0,83.3333
42.05,78.3333
42.1,118.333
42.15,65.0
42.2,110.0
42.25,88.3333
42.3,118.333
42.35,128.333
42.4,156.667
42.45,178.333
42.5,225.0
42.55,235.0
42.6,256.667
42.65,268.333
42.7,251.667
42.75,233.333
42.8,223.333
42.85,335.0
42.9,386.667
42.95,468.333
43.0,511.667
43.05,583.333
43.1,581.667
43.15,576.667
43.2,568.333
43.25,496.667
43.3,441.667
43.35,323.333
43.4,233.333
43.45,176.667
43.5,111.667
43.55,108.333
43.6,101.667
43.65,100.0
43.7,75.0
43.75,90.0
43.8,80.0
43.85,56.6667
43.9,96.6667
43.95,65.0
44.0,95.0
44.05,63.3333
44.1,61.6667
44.15,85.0
44.2,90.0
44.25,90.0
44.3,80.0
44.35,65.0
44.4,73.3333
44.45,85.0
44.5,73.3333
44.55,63.3333
44.6,70.0
44.65,75.0
44.7,86.6667
44.75,68.3333
44.8,58.3333
44.85,58.3333
44.9,85.0
44.95,98.3333
45.0,81.6667
