2theta (deg),intensity (cps)
5.0,208.333
5.05,153.333
5.1,188.333
5.15,195.0
5.2,168.333
5.25,173.333
5.3,181.667
5.35,146.667
5.4,173.333
5.45,188.333
5.5,196.667
5.55,200.0
5.6,168.333
5.65,155.0
5.7,158.333
5.75,160.0
5.8,143.333
5.85,211.667
5.9,145.0
5.95,173.333
6.0,168.333
6.05,155.0
6.1,165.0
6.15,168.333
6.2,170.0
6.25,153.333
6.3,136.667
6.35,158.333
6.4,146.667
6.45,165.0
6.5,155.0
6.55,186.667
6.6,146.667
6.65,161.667
6.7,145.0
6.75,133.333
6.8,166.667
6.85,158.333
6.9,163.333
6.95,148.333
7.0,156.667
7.05,158.333
7.1,163.333
7.15,165.0
7.2,138.333
7.25,118.333
7.3,158.333
7.35,150.0
7.4,145.0
7.45,158.333
7.5,145.0
7.55,143.333
7.6,143.333
7.65,153.333
7.7,170.0
7.75,140.0
7.8,136.667
7.85,141.667
7.9,151.667
7.95,158.333
8.0,158.333
8.05,118.333
8.1,131.667
8.15,160.0
8.2,120.0
8.25,133.333
8.3,135.0
8.35,148.333
8.4,146.667
8.45,120.0
8.5,140.0
8.55,161.667
8.6,181.667
8.65,153.333
8.7,148.333
8.75,120.0
8.8,116.667
8.85,130.0
8.9,136.667
8.95,108.333
9.0,106.667
9.05,125.0
9.1,121.667
9.15,110.0
9.2,175.0
9.25,110.0
9.3,105.0
9.35,111.667
9.4,121.667
9.45,108.333
9.5,126.667
9.55,123.333
9.6,103.333
9.65,123.333
9.7,125.0
9.75,100.0
9.8,121.667
9.85,130.0
9.9,133.333
9.95,116.667
10.0,135.0
10.05,106.667
10.1,130.0
10.15,101.667
10.2,101.667
10.25,138.333
10.3,120.0
10.35,115.0
10.4,118.333
10.45,138.333
10.5,98.3333
10.55,95.0
10.6,116.667
10.65,90.0
10.7,101.667
10.75,83.3333
10.8,113.333
10.85,118.333
10.9,85.0
10.95,110.0
11.0,98.3333
11.05,105.0
11.1,93.3333
11.15,110.0
11.2,113.333
11.25,98.3333
11.3,93.3333
11.35,128.333
11.4,121.667
11.45,130.0
11.5,86.6667
11.55,116.667
11.6,111.667
11.65,101.667
11.7,111.667
11.75,108.333
11.8,95.0
11.85,91.6667
11.9,91.6667
11.95,110.0
12.0,96.6667
12.05,106.667
12.1,96.6667
12.15,110.0
12.2,101.667
12.25,106.667
12.3,118.333
12.35,118.333
12.4,100.0
12.45,116.667
12.5,158.333
12.55,155.0
12.6,121.667
12.65,171.667
12.7,191.667
12.75,163.333
12.8,153.333
